Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,5.36,5.39,5.28,5.30,156382400,5.30
2015-12-29,5.36,5.40,5.34,5.36,114799400,5.36
2015-12-28,5.45,5.45,5.34,5.38,125579200,5.38
2015-12-25,5.43,5.43,5.43,5.43,000,5.43
2015-12-24,5.42,5.45,5.40,5.43,137067300,5.43
2015-12-23,5.33,5.41,5.31,5.39,164762100,5.39
2015-12-22,5.33,5.38,5.31,5.33,173213300,5.33
2015-12-21,5.25,5.38,5.25,5.34,196979700,5.34
2015-12-18,5.23,5.36,5.22,5.29,275489300,5.29
2015-12-17,5.31,5.37,5.26,5.31,235249900,5.31
2015-12-16,5.23,5.28,5.22,5.25,271986200,5.25
2015-12-15,5.08,5.21,5.08,5.16,283089500,5.16
2015-12-14,5.05,5.17,5.05,5.13,243287300,5.13
2015-12-11,5.20,5.23,5.15,5.16,181528200,5.16
2015-12-10,5.17,5.26,5.16,5.20,290686400,5.20
2015-12-09,5.23,5.27,5.20,5.21,152887200,5.21
2015-12-08,5.28,5.30,5.21,5.27,285471100,5.27
2015-12-07,5.36,5.39,5.31,5.32,176011300,5.32
2015-12-04,5.35,5.38,5.31,5.33,252634300,5.33
2015-12-03,5.35,5.43,5.35,5.40,220535200,5.40
2015-12-02,5.38,5.43,5.35,5.40,375773800,5.40
2015-12-01,5.34,5.46,5.30,5.38,350137200,5.38
2015-11-30,5.31,5.39,5.27,5.33,547768200,5.33
2015-11-27,5.45,5.45,5.35,5.36,320935800,5.36
2015-11-26,5.48,5.52,5.42,5.44,160052000,5.44
2015-11-25,5.43,5.47,5.39,5.42,304162700,5.42
2015-11-24,5.54,5.54,5.42,5.48,222765700,5.48
2015-11-23,5.60,5.62,5.53,5.54,172379000,5.54
2015-11-20,5.54,5.62,5.49,5.59,180875100,5.59
2015-11-19,5.49,5.55,5.48,5.54,214842400,5.54
2015-11-18,5.40,5.45,5.38,5.40,127760400,5.40
2015-11-17,5.39,5.51,5.37,5.39,267289300,5.39
2015-11-16,5.29,5.39,5.29,5.34,242185500,5.34
2015-11-13,5.49,5.51,5.42,5.44,333960600,5.44
2015-11-12,5.49,5.64,5.47,5.60,272912600,5.60
2015-11-11,5.49,5.50,5.44,5.47,182357100,5.47
2015-11-10,5.52,5.57,5.48,5.50,303995300,5.50
2015-11-09,5.57,5.70,5.56,5.59,230127000,5.59
2015-11-06,5.66,5.69,5.59,5.63,270137000,5.63
2015-11-05,5.73,5.78,5.70,5.72,222658400,5.72
2015-11-04,5.62,5.85,5.62,5.73,417047100,5.73
2015-11-03,5.63,5.65,5.56,5.57,215226600,5.57
2015-11-02,5.55,5.65,5.53,5.55,267571800,5.55
2015-10-30,5.69,5.71,5.62,5.63,257608700,5.63
2015-10-29,5.76,5.78,5.63,5.68,252213300,5.68
2015-10-28,5.77,5.82,5.70,5.72,197701500,5.72
2015-10-27,5.83,5.84,5.71,5.83,244878800,5.83
2015-10-26,5.95,5.95,5.78,5.83,224933500,5.83
2015-10-23,5.87,5.87,5.82,5.85,235241700,5.85
2015-10-22,5.75,5.80,5.72,5.79,214185100,5.79
2015-10-21,5.78,5.78,5.78,5.78,000,5.78
2015-10-20,5.72,5.80,5.68,5.78,184136300,5.78
2015-10-19,5.70,5.78,5.70,5.76,192829300,5.76
2015-10-16,5.80,5.85,5.73,5.75,259587100,5.75
2015-10-15,5.65,5.75,5.63,5.70,236566400,5.70
2015-10-14,5.60,5.67,5.55,5.59,211055200,5.59
2015-10-13,5.78,5.78,5.62,5.67,264959200,5.67
2015-10-12,5.69,5.78,5.68,5.73,261662300,5.73
2015-10-09,5.65,5.80,5.64,5.66,397228400,5.66
2015-10-08,5.62,5.62,5.49,5.58,276617200,5.58
2015-10-07,5.33,5.61,5.30,5.59,431534600,5.59
2015-10-06,5.43,5.43,5.27,5.33,229532200,5.33
2015-10-05,5.36,5.38,5.31,5.34,229539200,5.34
2015-10-02,5.17,5.30,5.17,5.27,320161100,5.27
2015-10-01,5.15,5.15,5.15,5.15,000,5.15
2015-09-30,5.13,5.22,5.11,5.15,354305900,5.15
2015-09-29,5.05,5.12,5.04,5.10,457157700,5.10
2015-09-28,5.24,5.24,5.24,5.24,000,5.24
2015-09-25,5.20,5.30,5.20,5.24,280228900,5.24
2015-09-24,5.31,5.33,5.20,5.22,350581200,5.22
2015-09-23,5.39,5.39,5.20,5.31,436431900,5.31
2015-09-22,5.51,5.57,5.42,5.44,225826900,5.44
2015-09-21,5.46,5.54,5.41,5.53,249700200,5.53
2015-09-18,5.53,5.64,5.53,5.58,251954100,5.58
2015-09-17,5.62,5.68,5.52,5.56,284587200,5.56
2015-09-16,5.49,5.65,5.46,5.56,355317400,5.56
2015-09-15,5.42,5.48,5.39,5.43,168724400,5.43
2015-09-14,5.49,5.51,5.37,5.42,189531100,5.42
2015-09-11,5.34,5.51,5.34,5.41,293748000,5.41
2015-09-10,5.39,5.43,5.30,5.36,293243400,5.36
2015-09-09,5.33,5.53,5.31,5.50,469133300,5.50
2015-09-08,5.06,5.30,5.02,5.21,426843100,5.21
2015-09-07,5.08,5.23,5.05,5.06,291545600,5.06
2015-09-04,5.26,5.30,5.11,5.14,361737600,5.14
2015-09-03,5.26,5.26,5.26,5.26,000,5.26
2015-09-02,5.30,5.31,5.17,5.26,409272400,5.26
2015-09-01,5.45,5.47,5.33,5.34,358870700,5.34
2015-08-31,5.42,5.49,5.36,5.45,378111700,5.45
2015-08-28,5.80,5.80,5.36,5.37,434851900,5.37
2015-08-27,5.60,5.60,5.48,5.58,479202700,5.58
2015-08-26,5.50,5.59,5.37,5.38,467455900,5.38
2015-08-25,5.55,5.64,5.34,5.46,536991000,5.46
2015-08-24,5.55,5.62,5.46,5.52,504027800,5.52
2015-08-21,5.77,5.83,5.70,5.80,392060300,5.80
2015-08-20,5.95,5.99,5.82,5.92,379526800,5.92
2015-08-19,6.15,6.20,6.00,6.02,306338400,6.02
2015-08-18,6.26,6.26,6.08,6.11,242514900,6.11
2015-08-17,6.20,6.23,6.13,6.18,197699500,6.18
2015-08-14,6.26,6.27,6.20,6.22,157839500,6.22
2015-08-13,6.22,6.28,6.17,6.22,201121300,6.22
2015-08-12,6.27,6.30,6.17,6.21,280457400,6.21
2015-08-11,6.42,6.48,6.29,6.32,214791800,6.32
2015-08-10,6.38,6.41,6.29,6.37,168704600,6.37
2015-08-07,6.36,6.43,6.35,6.41,138475400,6.41
2015-08-06,6.37,6.38,6.28,6.32,136918900,6.32
2015-08-05,6.41,6.41,6.33,6.34,116156600,6.34
2015-08-04,6.31,6.37,6.28,6.33,155705000,6.33
2015-08-03,6.28,6.32,6.21,6.31,161039300,6.31
2015-07-31,6.38,6.40,6.28,6.33,186149200,6.33
2015-07-30,6.36,6.44,6.27,6.29,220465600,6.29
2015-07-29,6.35,6.39,6.29,6.35,183077500,6.35
2015-07-28,6.28,6.38,6.20,6.26,339971100,6.26
2015-07-27,6.38,6.41,6.25,6.28,369258500,6.28
2015-07-24,6.50,6.51,6.41,6.46,183529700,6.46
2015-07-23,6.50,6.60,6.48,6.53,178417100,6.53
2015-07-22,6.52,6.54,6.43,6.50,174968300,6.50
2015-07-21,6.58,6.58,6.47,6.56,141362300,6.56
2015-07-20,6.58,6.58,6.47,6.52,184367800,6.52
2015-07-17,6.52,6.60,6.47,6.54,206674700,6.54
2015-07-16,6.44,6.51,6.38,6.50,242672100,6.50
2015-07-15,6.54,6.57,6.41,6.48,229855200,6.48
2015-07-14,6.63,6.63,6.43,6.50,372089100,6.50
2015-07-13,6.50,6.64,6.49,6.58,326724300,6.58
2015-07-10,6.44,6.62,6.42,6.52,564775000,6.52
2015-07-09,6.25,6.54,6.16,6.37,697705100,6.37
2015-07-08,6.60,6.61,6.10,6.39,904104300,6.39
2015-07-07,6.98,6.98,6.72,6.80,477081900,6.80
2015-07-06,7.10,7.16,6.69,6.85,595259300,6.85
2015-07-03,7.07,7.12,6.99,7.05,305924500,7.05
2015-07-02,7.13,7.13,6.96,7.06,369188500,7.06
2015-07-01,7.08,7.08,7.08,7.08,000,7.08
2015-06-30,6.88,7.14,6.88,7.08,472261400,7.08
2015-06-29,7.12,7.15,6.78,6.93,595797900,6.93
2015-06-26,7.28,7.28,7.02,7.09,531381500,7.09
2015-06-25,7.44,7.46,7.26,7.28,316546000,7.28
2015-06-24,7.40,7.45,7.31,7.37,296409600,7.37
2015-06-23,7.33,7.46,7.27,7.40,397654100,7.40
2015-06-22,7.55,7.66,7.52,7.64,429585400,7.25848
2015-06-19,7.59,7.67,7.47,7.54,947108500,7.16347
2015-06-18,7.50,7.52,7.43,7.48,245113100,7.10647
2015-06-17,7.43,7.58,7.37,7.52,406834300,7.14447
2015-06-16,7.65,7.65,7.45,7.45,354225000,7.07797
2015-06-15,7.68,7.69,7.56,7.59,307987600,7.21098
2015-06-12,7.69,7.78,7.57,7.76,366204900,7.37249
2015-06-11,7.70,7.74,7.60,7.68,331305700,7.29648
2015-06-10,7.75,7.83,7.60,7.63,332994900,7.24898
2015-06-09,7.86,7.92,7.73,7.74,389927400,7.35349
