Date,Open,High,Low,Close,Volume,Adj Close
2016-01-26,15.33,15.39,14.78,14.86,30208500,14.86
2016-01-25,15.29,15.49,15.20,15.48,21843900,15.48
2016-01-22,15.48,15.49,15.13,15.28,30700800,15.28
2016-01-21,15.41,15.68,15.28,15.30,35322400,15.30
2016-01-20,15.56,15.68,15.24,15.52,38930600,15.52
2016-01-19,15.58,15.77,15.35,15.71,38835100,15.71
2016-01-18,15.39,15.70,15.36,15.42,26735000,15.42
2016-01-15,15.87,15.92,15.45,15.48,34421500,15.48
2016-01-14,15.55,15.96,15.52,15.89,42963000,15.89
2016-01-13,16.21,16.21,15.78,15.87,57343500,15.87
2016-01-12,16.03,16.25,15.88,15.98,46828200,15.98
2016-01-11,16.68,16.68,16.00,16.04,65491200,16.04
2016-01-08,16.80,17.06,16.61,16.81,60822700,16.81
2016-01-07,17.15,17.15,16.51,16.67,19981500,16.67
2016-01-06,17.20,17.33,17.06,17.31,31982600,17.31
2016-01-05,17.17,17.55,17.00,17.23,51577700,17.23
2016-01-04,17.91,17.95,17.16,17.28,37340500,17.28
2016-01-01,17.99,17.99,17.99,17.99,000,17.99
2015-12-31,18.12,18.33,17.91,17.99,72164900,17.99
2015-12-30,17.90,18.30,17.55,18.26,71266500,18.26
2015-12-29,17.83,17.97,17.71,17.94,36577400,17.94
2015-12-28,18.35,18.39,17.80,17.84,48737900,17.84
2015-12-24,18.18,18.31,18.01,18.14,37409200,18.14
2015-12-23,18.28,18.71,18.17,18.19,108842800,18.19
2015-12-22,18.14,18.32,18.06,18.27,94006400,18.27
2015-12-21,17.43,18.45,17.35,18.23,152603000,18.23
2015-12-18,17.09,18.06,17.04,17.52,156986500,17.52
2015-12-17,17.00,17.12,16.95,17.10,50191000,17.10
2015-12-16,17.08,17.09,16.87,16.96,30786300,16.96
2015-12-15,17.03,17.06,16.90,17.03,46157800,17.03
2015-12-14,16.75,17.09,16.50,17.06,94142100,17.06
2015-12-11,17.23,17.26,16.66,16.92,114185600,16.92
2015-12-10,17.39,17.65,17.21,17.26,44071700,17.26
2015-12-09,17.33,17.59,17.32,17.39,44067000,17.39
2015-12-08,17.30,17.62,17.18,17.42,45180100,17.42
2015-12-07,17.20,17.45,17.15,17.39,43689400,17.39
2015-12-04,17.60,17.69,17.13,17.25,51544500,17.25
2015-12-03,17.80,17.98,17.61,17.78,71516000,17.78
2015-12-02,17.13,17.99,17.05,17.91,102164700,17.91
2015-12-01,17.28,17.28,16.91,17.11,39788400,17.11
2015-11-30,17.07,17.32,16.98,17.20,55002000,17.20
2015-11-27,17.51,17.51,16.90,17.04,67955500,17.04
2015-11-26,17.79,17.92,17.50,17.53,63766000,17.53
2015-11-25,17.85,17.85,17.56,17.73,66101100,17.73
2015-11-24,18.23,18.23,17.70,17.88,62211100,17.88
2015-11-23,18.16,18.34,18.12,18.19,47651000,18.19
2015-11-20,18.15,18.29,18.11,18.15,36231200,18.15
2015-11-19,18.08,18.25,18.05,18.20,32778200,18.20
2015-11-18,18.23,18.45,18.00,18.16,47020900,18.16
2015-11-17,18.20,18.45,18.08,18.14,58690600,18.14
2015-11-16,18.01,18.17,17.93,18.10,34169000,18.10
2015-11-13,18.13,18.34,18.09,18.14,35960700,18.14
2015-11-12,18.55,18.57,18.17,18.27,43502700,18.27
2015-11-11,18.64,18.64,18.31,18.44,50167400,18.44
2015-11-10,18.85,18.99,18.56,18.64,85968100,18.64
2015-11-09,18.75,19.98,18.75,19.08,202697100,19.08
2015-11-06,18.53,18.71,18.30,18.68,95910100,18.68
2015-11-05,18.30,19.08,18.18,18.57,177602300,18.57
2015-11-04,17.97,18.39,17.85,18.36,62343800,18.36
2015-11-03,17.84,18.06,17.84,17.90,34258800,17.90
2015-11-02,17.78,18.04,17.78,17.83,27526600,17.83
2015-10-30,17.79,18.08,17.78,17.93,43475400,17.93
2015-10-29,17.85,17.93,17.80,17.81,27189100,17.81
2015-10-28,17.96,17.99,17.82,17.86,35544100,17.86
2015-10-27,18.08,18.13,17.88,18.04,37451100,18.04
2015-10-26,18.33,18.35,17.98,18.07,65191800,18.07
2015-10-23,18.26,18.36,18.08,18.19,46374400,18.19
2015-10-22,18.42,18.48,18.22,18.29,43201400,18.29
2015-10-21,18.18,18.98,18.02,18.69,89199300,18.69
2015-10-20,18.30,18.41,18.05,18.22,37834100,18.22
2015-10-19,18.56,18.56,18.19,18.25,55653000,18.25
2015-10-16,18.40,18.79,18.33,18.58,67386000,18.58
