简介,公告日,分红,送股,转增股,登记日,除权日,备注
四川路桥,2015-08-29,--,--,--,--,--,董事会通过
四川路桥,2015-04-22,0.50,--,--,2015-07-09,2015-07-10,实施
四川路桥,2014-08-30,--,--,10.00,2014-10-08,2014-10-09,实施
四川路桥,2014-03-28,0.50,--,--,2014-05-23,2014-05-26,实施
四川路桥,2013-08-31,--,--,--,--,--,董事会通过
四川路桥,2013-03-28,1.50,--,--,2013-06-17,2013-06-18,实施
四川路桥,2012-08-21,--,--,--,--,--,董事会通过
四川路桥,2012-03-28,1.00,1.50,6.50,2012-05-14,2012-05-15,实施
四川路桥,2011-08-31,--,--,--,--,--,董事会通过
四川路桥,2011-03-25,--,--,--,--,--,股东大会通过
四川路桥,2010-08-26,--,--,--,--,--,董事会通过
四川路桥,2010-03-25,--,--,--,--,--,股东大会通过
四川路桥,2009-08-26,--,--,--,--,--,董事会通过
四川路桥,2009-03-25,--,--,--,--,--,股东大会通过
四川路桥,2008-08-28,--,--,--,--,--,董事会通过
四川路桥,2008-04-02,--,--,--,--,--,股东大会通过
四川路桥,2007-08-28,--,--,--,--,--,董事会通过
四川路桥,2007-04-07,--,--,--,--,--,股东大会通过
四川路桥,2006-08-26,--,--,--,--,--,董事会通过
四川路桥,2006-04-06,--,--,--,--,--,股东大会通过
